  Revised: Sunday, June 25, 2023
          Revision: 







Design Name:  E:\STADY\EMBADDED_STADY\FPGA_PROJECT\DE0_NANO\WORK\GITHUB\SCHEMATIC\ALLWINNER_H3\ALLWINER_H3.DSN

Export Placement         November 18,2023      10:11:15,Page1

Item,Reference,Part,SchematicName,Sheet,Library,X,Y
____________________________________________________________________________

1,ANT1,U.FL-R-SMT-1(80),/02_A2_POWER/01_A3_Main_Block/03_A4_POWER_TREE/04_A2_CPU_1/05_A3_MicroSD/06_A3_USB2.0_Debug/07_A2_WI-FI,7,E:\STADY\EMBADDED_STADY\FPGA_PROJECT\DE0_NANO\WORK\GITHUB\SCHEMATIC\ALLWINNER_H3\LIB\LIB_H3.OLB, 514.25, 73.75
2,C1,10UF/16V,/02_A2_POWER,2,E:\STADY\EMBADDED_STADY\FPGA_PROJECT\DE0_NANO\WORK\GITHUB\SCHEMATIC\ALLWINER_H3\LIB\LIB_H3.OLB, 115.75, 61.50
3,C2,100NF/16V,/02_A2_POWER,2,E:\STADY\EMBADDED_STADY\FPGA_PROJECT\DE0_NANO\WORK\GITHUB\SCHEMATIC\ALLWINER_H3\LIB\LIB_H3.OLB, 145.25, 61.50
4,C3,10UF/10V,/02_A2_POWER,2,E:\STADY\EMBADDED_STADY\FPGA_PROJECT\DE0_NANO\WORK\GITHUB\SCHEMATIC\ALLWINER_H3\LIB\LIB_H3.OLB, 320.00, 64.00
5,C4,100NF/16V,/02_A2_POWER,2,E:\STADY\EMBADDED_STADY\FPGA_PROJECT\DE0_NANO\WORK\GITHUB\SCHEMATIC\ALLWINER_H3\LIB\LIB_H3.OLB, 347.00, 64.00
6,C5,22PF/50V,/02_A2_POWER,2,E:\STADY\EMBADDED_STADY\FPGA_PROJECT\DE0_NANO\WORK\GITHUB\SCHEMATIC\ALLWINER_H3\LIB\LIB_H3.OLB, 285.50, 81.25
7,C6,4.7UF/16V,/02_A2_POWER,2,E:\STADY\EMBADDED_STADY\FPGA_PROJECT\DE0_NANO\WORK\GITHUB\SCHEMATIC\ALLWINER_H3\LIB\LIB_H3.OLB, 115.75, 147.75
8,C7,100NF/16V,/02_A2_POWER,2,E:\STADY\EMBADDED_STADY\FPGA_PROJECT\DE0_NANO\WORK\GITHUB\SCHEMATIC\ALLWINER_H3\LIB\LIB_H3.OLB, 297.75, 155.00
9,C8,4.7UF/16V,/02_A2_POWER,2,E:\STADY\EMBADDED_STADY\FPGA_PROJECT\DE0_NANO\WORK\GITHUB\SCHEMATIC\ALLWINER_H3\LIB\LIB_H3.OLB, 327.25, 155.00
10,C9,DNP/10NF/16V,/02_A2_POWER,2,E:\STADY\EMBADDED_STADY\FPGA_PROJECT\DE0_NANO\WORK\GITHUB\SCHEMATIC\ALLWINER_H3\LIB\LIB_H3.OLB, 260.75, 155.00
11,C10,10UF/16V,/02_A2_POWER,2,E:\STADY\EMBADDED_STADY\FPGA_PROJECT\DE0_NANO\WORK\GITHUB\SCHEMATIC\ALLWINER_H3\LIB\LIB_H3.OLB, 61.50, 231.25
12,C11,100NF/16V,/02_A2_POWER,2,E:\STADY\EMBADDED_STADY\FPGA_PROJECT\DE0_NANO\WORK\GITHUB\SCHEMATIC\ALLWINER_H3\LIB\LIB_H3.OLB, 93.50, 231.25
13,C12,22UF/10V,/02_A2_POWER,2,E:\STADY\EMBADDED_STADY\FPGA_PROJECT\DE0_NANO\WORK\GITHUB\SCHEMATIC\ALLWINER_H3\LIB\LIB_H3.OLB, 29.50, 231.25
14,C13,100NF/16V,/02_A2_POWER,2,E:\STADY\EMBADDED_STADY\FPGA_PROJECT\DE0_NANO\WORK\GITHUB\SCHEMATIC\ALLWINER_H3\LIB\LIB_H3.OLB, 206.75, 206.75
15,C14,22UF/10V,/02_A2_POWER,2,E:\STADY\EMBADDED_STADY\FPGA_PROJECT\DE0_NANO\WORK\GITHUB\SCHEMATIC\ALLWINER_H3\LIB\LIB_H3.OLB, 307.50, 228.75
16,C15,10UF/16V,/02_A2_POWER,2,E:\STADY\EMBADDED_STADY\FPGA_PROJECT\DE0_NANO\WORK\GITHUB\SCHEMATIC\ALLWINER_H3\LIB\LIB_H3.OLB, 339.50, 228.75
17,C16,100NF/16V,/02_A2_POWER,2,E:\STADY\EMBADDED_STADY\FPGA_PROJECT\DE0_NANO\WORK\GITHUB\SCHEMATIC\ALLWINER_H3\LIB\LIB_H3.OLB, 374.00, 228.75
18,C17,10UF/16V,/02_A2_POWER,2,E:\STADY\EMBADDED_STADY\FPGA_PROJECT\DE0_NANO\WORK\GITHUB\SCHEMATIC\ALLWINER_H3\LIB\LIB_H3.OLB, 398.50, 108.25
19,C18,100NF/16V,/02_A2_POWER,2,E:\STADY\EMBADDED_STADY\FPGA_PROJECT\DE0_NANO\WORK\GITHUB\SCHEMATIC\ALLWINER_H3\LIB\LIB_H3.OLB, 472.50, 108.25
20,C19,10UF/16V,/02_A2_POWER,2,E:\STADY\EMBADDED_STADY\FPGA_PROJECT\DE0_NANO\WORK\GITHUB\SCHEMATIC\ALLWINER_H3\LIB\LIB_H3.OLB, 504.50, 108.25
21,C20,22PF/50V,/02_A2_POWER,2,E:\STADY\EMBADDED_STADY\FPGA_PROJECT\DE0_NANO\WORK\GITHUB\SCHEMATIC\ALLWINER_H3\LIB\LIB_H3.OLB, 246.00, 371.50
22,C21,22UF/10V,/02_A2_POWER,2,E:\STADY\EMBADDED_STADY\FPGA_PROJECT\DE0_NANO\WORK\GITHUB\SCHEMATIC\ALLWINER_H3\LIB\LIB_H3.OLB, 278.00, 349.50
23,C22,10UF/16V,/02_A2_POWER,2,E:\STADY\EMBADDED_STADY\FPGA_PROJECT\DE0_NANO\WORK\GITHUB\SCHEMATIC\ALLWINER_H3\LIB\LIB_H3.OLB, 305.00, 349.50
24,C23,100NF/16V,/02_A2_POWER,2,E:\STADY\EMBADDED_STADY\FPGA_PROJECT\DE0_NANO\WORK\GITHUB\SCHEMATIC\ALLWINER_H3\LIB\LIB_H3.OLB, 332.25, 349.50
25,C24,22UF/10V,/02_A2_POWER,2,E:\STADY\EMBADDED_STADY\FPGA_PROJECT\DE0_NANO\WORK\GITHUB\SCHEMATIC\ALLWINER_H3\LIB\LIB_H3.OLB, 22.25, 347.00
26,C25,10UF/16V,/02_A2_POWER,2,E:\STADY\EMBADDED_STADY\FPGA_PROJECT\DE0_NANO\WORK\GITHUB\SCHEMATIC\ALLWINER_H3\LIB\LIB_H3.OLB, 54.25, 347.00
27,C26,100NF/16V,/02_A2_POWER,2,E:\STADY\EMBADDED_STADY\FPGA_PROJECT\DE0_NANO\WORK\GITHUB\SCHEMATIC\ALLWINER_H3\LIB\LIB_H3.OLB, 83.75, 347.00
28,C27,4.7UF/16V,/02_A2_POWER,2,E:\STADY\EMBADDED_STADY\FPGA_PROJECT\DE0_NANO\WORK\GITHUB\SCHEMATIC\ALLWINER_H3\LIB\LIB_H3.OLB, 305.00, 292.75
29,C28,DNP/10NF/16V,/02_A2_POWER,2,E:\STADY\EMBADDED_STADY\FPGA_PROJECT\DE0_NANO\WORK\GITHUB\SCHEMATIC\ALLWINER_H3\LIB\LIB_H3.OLB, 450.25, 300.25
30,C29,100NF/16V,/02_A2_POWER,2,E:\STADY\EMBADDED_STADY\FPGA_PROJECT\DE0_NANO\WORK\GITHUB\SCHEMATIC\ALLWINER_H3\LIB\LIB_H3.OLB, 482.25, 300.25
31,C30,4.7UF/16V,/02_A2_POWER,2,E:\STADY\EMBADDED_STADY\FPGA_PROJECT\DE0_NANO\WORK\GITHUB\SCHEMATIC\ALLWINER_H3\LIB\LIB_H3.OLB, 516.75, 300.25
32,C31,100NF/16V,/02_A2_POWER/01_A3_Main_Block/03_A4_POWER_TREE/04_A2_CPU_1,4,E:\STADY\EMBADDED_STADY\FPGA_PROJECT\DE0_NANO\WORK\GITHUB\SCHEMATIC\ALLWINER_H3\LIB\LIB_H3.OLB, 347.00, 349.50
33,C32,100NF/16V,/02_A2_POWER/01_A3_Main_Block/03_A4_POWER_TREE/04_A2_CPU_1,4,E:\STADY\EMBADDED_STADY\FPGA_PROJECT\DE0_NANO\WORK\GITHUB\SCHEMATIC\ALLWINER_H3\LIB\LIB_H3.OLB, 413.50, 241.25
34,C33,100NF/16V,/02_A2_POWER/01_A3_Main_Block/03_A4_POWER_TREE/04_A2_CPU_1,4,E:\STADY\EMBADDED_STADY\FPGA_PROJECT\DE0_NANO\WORK\GITHUB\SCHEMATIC\ALLWINER_H3\LIB\LIB_H3.OLB, 29.50, 258.25
35,C34,100NF/16V,/02_A2_POWER/01_A3_Main_Block/03_A4_POWER_TREE/04_A2_CPU_1,4,E:\STADY\EMBADDED_STADY\FPGA_PROJECT\DE0_NANO\WORK\GITHUB\SCHEMATIC\ALLWINER_H3\LIB\LIB_H3.OLB, 29.50, 290.25
36,C35,100NF/16V,/02_A2_POWER/01_A3_Main_Block/03_A4_POWER_TREE/04_A2_CPU_1,4,E:\STADY\EMBADDED_STADY\FPGA_PROJECT\DE0_NANO\WORK\GITHUB\SCHEMATIC\ALLWINER_H3\LIB\LIB_H3.OLB, 132.75, 379.00
37,C36,100NF/16V,/02_A2_POWER/01_A3_Main_Block/03_A4_POWER_TREE/04_A2_CPU_1,4,E:\STADY\EMBADDED_STADY\FPGA_PROJECT\DE0_NANO\WORK\GITHUB\SCHEMATIC\ALLWINER_H3\LIB\LIB_H3.OLB, 96.00, 379.00
38,C37,100NF/16V,/02_A2_POWER/01_A3_Main_Block/03_A4_POWER_TREE/04_A2_CPU_1,4,E:\STADY\EMBADDED_STADY\FPGA_PROJECT\DE0_NANO\WORK\GITHUB\SCHEMATIC\ALLWINER_H3\LIB\LIB_H3.OLB, 383.75, 347.00
39,C38,10UF/16V,/02_A2_POWER/01_A3_Main_Block/03_A4_POWER_TREE/04_A2_CPU_1,4,E:\STADY\EMBADDED_STADY\FPGA_PROJECT\DE0_NANO\WORK\GITHUB\SCHEMATIC\ALLWINER_H3\LIB\LIB_H3.OLB, 415.75, 347.00
40,C39,100NF/16V,/02_A2_POWER/01_A3_Main_Block/03_A4_POWER_TREE/04_A2_CPU_1,4,E:\STADY\EMBADDED_STADY\FPGA_PROJECT\DE0_NANO\WORK\GITHUB\SCHEMATIC\ALLWINER_H3\LIB\LIB_H3.OLB, 428.25, 290.25
41,C40,10UF/16V,/02_A2_POWER/01_A3_Main_Block/03_A4_POWER_TREE/04_A2_CPU_1,4,E:\STADY\EMBADDED_STADY\FPGA_PROJECT\DE0_NANO\WORK\GITHUB\SCHEMATIC\ALLWINER_H3\LIB\LIB_H3.OLB, 460.25, 290.25
42,C41,100NF/16V,/02_A2_POWER/01_A3_Main_Block/03_A4_POWER_TREE/04_A2_CPU_1,4,E:\STADY\EMBADDED_STADY\FPGA_PROJECT\DE0_NANO\WORK\GITHUB\SCHEMATIC\ALLWINER_H3\LIB\LIB_H3.OLB, 492.25, 290.25
43,C42,10UF/16V,/02_A2_POWER/01_A3_Main_Block/03_A4_POWER_TREE/04_A2_CPU_1,4,E:\STADY\EMBADDED_STADY\FPGA_PROJECT\DE0_NANO\WORK\GITHUB\SCHEMATIC\ALLWINER_H3\LIB\LIB_H3.OLB, 524.00, 290.25
44,C43,4.7UF/16V,/02_A2_POWER/01_A3_Main_Block/03_A4_POWER_TREE/04_A2_CPU_1,4,E:\STADY\EMBADDED_STADY\FPGA_PROJECT\DE0_NANO\WORK\GITHUB\SCHEMATIC\ALLWINER_H3\LIB\LIB_H3.OLB, 477.25, 214.00
45,C44,1U/16V,/02_A2_POWER/01_A3_Main_Block/03_A4_POWER_TREE/04_A2_CPU_1,4,E:\STADY\EMBADDED_STADY\FPGA_PROJECT\DE0_NANO\WORK\GITHUB\SCHEMATIC\ALLWINNER_H3\LIB\LIB_H3.OLB, 541.25, 214.00
46,C45,1U/16V,/02_A2_POWER/01_A3_Main_Block/03_A4_POWER_TREE/04_A2_CPU_1/05_A3_MicroSD,5,E:\STADY\EMBADDED_STADY\FPGA_PROJECT\DE0_NANO\WORK\GITHUB\SCHEMATIC\ALLWINNER_H3\LIB\LIB_H3.OLB, 93.50, 64.00
47,C46,100NF/16V,/02_A2_POWER/01_A3_Main_Block/03_A4_POWER_TREE/04_A2_CPU_1/05_A3_MicroSD/06_A3_USB2.0_Debug,6,E:\STADY\EMBADDED_STADY\FPGA_PROJECT\DE0_NANO\WORK\GITHUB\SCHEMATIC\ALLWINER_H3\LIB\LIB_H3.OLB, 315.00, 184.50
48,C47,1000P/100V,/02_A2_POWER/01_A3_Main_Block/03_A4_POWER_TREE/04_A2_CPU_1/05_A3_MicroSD/06_A3_USB2.0_Debug,6,E:\STADY\EMBADDED_STADY\FPGA_PROJECT\DE0_NANO\WORK\GITHUB\SCHEMATIC\ALLWINNER_H3\LIB\LIB_H3.OLB, 347.00, 184.50
49,C48,100NF/16V,/02_A2_POWER/01_A3_Main_Block/03_A4_POWER_TREE/04_A2_CPU_1/05_A3_MicroSD/06_A3_USB2.0_Debug,6,E:\STADY\EMBADDED_STADY\FPGA_PROJECT\DE0_NANO\WORK\GITHUB\SCHEMATIC\ALLWINER_H3\LIB\LIB_H3.OLB, 329.75, 64.00
50,C49,100NF/16V,/02_A2_POWER/01_A3_Main_Block/03_A4_POWER_TREE/04_A2_CPU_1/05_A3_MicroSD/06_A3_USB2.0_Debug,6,E:\STADY\EMBADDED_STADY\FPGA_PROJECT\DE0_NANO\WORK\GITHUB\SCHEMATIC\ALLWINER_H3\LIB\LIB_H3.OLB, 366.75, 64.00
51,C50,100NF/16V,/02_A2_POWER/01_A3_Main_Block/03_A4_POWER_TREE/04_A2_CPU_1/05_A3_MicroSD/06_A3_USB2.0_Debug,6,E:\STADY\EMBADDED_STADY\FPGA_PROJECT\DE0_NANO\WORK\GITHUB\SCHEMATIC\ALLWINER_H3\LIB\LIB_H3.OLB, 96.00, 56.50
52,C51,100NF/16V,/02_A2_POWER/01_A3_Main_Block/03_A4_POWER_TREE/04_A2_CPU_1/05_A3_MicroSD/06_A3_USB2.0_Debug,6,E:\STADY\EMBADDED_STADY\FPGA_PROJECT\DE0_NANO\WORK\GITHUB\SCHEMATIC\ALLWINER_H3\LIB\LIB_H3.OLB, 150.00, 44.25
53,C52,5.6p/NC,/02_A2_POWER/01_A3_Main_Block/03_A4_POWER_TREE/04_A2_CPU_1/05_A3_MicroSD/06_A3_USB2.0_Debug/07_A2_WI-FI,7,E:\STADY\EMBADDED_STADY\FPGA_PROJECT\DE0_NANO\WORK\GITHUB\SCHEMATIC\ALLWINNER_H3\LIB\LIB_H3.OLB, 120.50, 130.50
54,C53,10UF/16V,/02_A2_POWER/01_A3_Main_Block/03_A4_POWER_TREE/04_A2_CPU_1/05_A3_MicroSD/06_A3_USB2.0_Debug/07_A2_WI-FI,7,E:\STADY\EMBADDED_STADY\FPGA_PROJECT\DE0_NANO\WORK\GITHUB\SCHEMATIC\ALLWINER_H3\LIB\LIB_H3.OLB, 27.00, 320.00
55,C54,100NF/16V,/02_A2_POWER/01_A3_Main_Block/03_A4_POWER_TREE/04_A2_CPU_1/05_A3_MicroSD/06_A3_USB2.0_Debug/07_A2_WI-FI,7,E:\STADY\EMBADDED_STADY\FPGA_PROJECT\DE0_NANO\WORK\GITHUB\SCHEMATIC\ALLWINER_H3\LIB\LIB_H3.OLB, 56.50, 320.00
56,C55,22PF/50V,/02_A2_POWER/01_A3_Main_Block/03_A4_POWER_TREE/04_A2_CPU_1/05_A3_MicroSD/06_A3_USB2.0_Debug/07_A2_WI-FI,7,E:\STADY\EMBADDED_STADY\FPGA_PROJECT\DE0_NANO\WORK\GITHUB\SCHEMATIC\ALLWINER_H3\LIB\LIB_H3.OLB, 214.00, 337.00
57,C56,10UF/10V,/02_A2_POWER/01_A3_Main_Block/03_A4_POWER_TREE/04_A2_CPU_1/05_A3_MicroSD/06_A3_USB2.0_Debug/07_A2_WI-FI,7,E:\STADY\EMBADDED_STADY\FPGA_PROJECT\DE0_NANO\WORK\GITHUB\SCHEMATIC\ALLWINER_H3\LIB\LIB_H3.OLB, 253.50, 327.25
58,C57,100NF/16V,/02_A2_POWER/01_A3_Main_Block/03_A4_POWER_TREE/04_A2_CPU_1/05_A3_MicroSD/06_A3_USB2.0_Debug/07_A2_WI-FI,7,E:\STADY\EMBADDED_STADY\FPGA_PROJECT\DE0_NANO\WORK\GITHUB\SCHEMATIC\ALLWINER_H3\LIB\LIB_H3.OLB, 280.50, 327.25
59,C58,10UF/10V,/02_A2_POWER/01_A3_Main_Block/03_A4_POWER_TREE/04_A2_CPU_1/05_A3_MicroSD/06_A3_USB2.0_Debug/07_A2_WI-FI,7,E:\STADY\EMBADDED_STADY\FPGA_PROJECT\DE0_NANO\WORK\GITHUB\SCHEMATIC\ALLWINER_H3\LIB\LIB_H3.OLB, 150.00, 39.25
60,C59,100NF/16V,/02_A2_POWER/01_A3_Main_Block/03_A4_POWER_TREE/04_A2_CPU_1/05_A3_MicroSD/06_A3_USB2.0_Debug/07_A2_WI-FI,7,E:\STADY\EMBADDED_STADY\FPGA_PROJECT\DE0_NANO\WORK\GITHUB\SCHEMATIC\ALLWINER_H3\LIB\LIB_H3.OLB, 174.75, 39.25
61,C60,4.7UF/16V,/02_A2_POWER/01_A3_Main_Block/03_A4_POWER_TREE/04_A2_CPU_1/05_A3_MicroSD/06_A3_USB2.0_Debug/07_A2_WI-FI,7,E:\STADY\EMBADDED_STADY\FPGA_PROJECT\DE0_NANO\WORK\GITHUB\SCHEMATIC\ALLWINER_H3\LIB\LIB_H3.OLB, 312.50, 332.25
62,C61,4.7UF/16V,/02_A2_POWER/01_A3_Main_Block/03_A4_POWER_TREE/04_A2_CPU_1/05_A3_MicroSD/06_A3_USB2.0_Debug/07_A2_WI-FI,7,E:\STADY\EMBADDED_STADY\FPGA_PROJECT\DE0_NANO\WORK\GITHUB\SCHEMATIC\ALLWINER_H3\LIB\LIB_H3.OLB, 524.00, 329.75
63,C62,1U/16V,/02_A2_POWER/01_A3_Main_Block/03_A4_POWER_TREE/04_A2_CPU_1/05_A3_MicroSD/06_A3_USB2.0_Debug/07_A2_WI-FI,7,E:\STADY\EMBADDED_STADY\FPGA_PROJECT\DE0_NANO\WORK\GITHUB\SCHEMATIC\ALLWINNER_H3\LIB\LIB_H3.OLB, 489.75, 329.75
64,C63,0.47U/25V,/02_A2_POWER/01_A3_Main_Block/03_A4_POWER_TREE/04_A2_CPU_1/05_A3_MicroSD/06_A3_USB2.0_Debug/07_A2_WI-FI,7,E:\STADY\EMBADDED_STADY\FPGA_PROJECT\DE0_NANO\WORK\GITHUB\SCHEMATIC\ALLWINNER_H3\LIB\LIB_H3.OLB, 256.00, 167.25
65,C64,22P/NC,/02_A2_POWER/01_A3_Main_Block/03_A4_POWER_TREE/04_A2_CPU_1/05_A3_MicroSD/06_A3_USB2.0_Debug/07_A2_WI-FI,7,E:\STADY\EMBADDED_STADY\FPGA_PROJECT\DE0_NANO\WORK\GITHUB\SCHEMATIC\ALLWINNER_H3\LIB\LIB_H3.OLB, 433.00, 278.00
66,C65,22P/NC,/02_A2_POWER/01_A3_Main_Block/03_A4_POWER_TREE/04_A2_CPU_1/05_A3_MicroSD/06_A3_USB2.0_Debug/07_A2_WI-FI,7,E:\STADY\EMBADDED_STADY\FPGA_PROJECT\DE0_NANO\WORK\GITHUB\SCHEMATIC\ALLWINNER_H3\LIB\LIB_H3.OLB, 342.00, 278.00
67,C66,5.6P/50V,/02_A2_POWER/01_A3_Main_Block/03_A4_POWER_TREE/04_A2_CPU_1/05_A3_MicroSD/06_A3_USB2.0_Debug/07_A2_WI-FI,7,E:\STADY\EMBADDED_STADY\FPGA_PROJECT\DE0_NANO\WORK\GITHUB\SCHEMATIC\ALLWINNER_H3\LIB\LIB_H3.OLB, 420.75, 228.75
68,C67,5.6P/50V,/02_A2_POWER/01_A3_Main_Block/03_A4_POWER_TREE/04_A2_CPU_1/05_A3_MicroSD/06_A3_USB2.0_Debug/07_A2_WI-FI,7,E:\STADY\EMBADDED_STADY\FPGA_PROJECT\DE0_NANO\WORK\GITHUB\SCHEMATIC\ALLWINNER_H3\LIB\LIB_H3.OLB, 438.00, 246.00
69,C68,22PF/50V,/02_A2_POWER/01_A3_Main_Block/03_A4_POWER_TREE/04_A2_CPU_1/05_A3_MicroSD/06_A3_USB2.0_Debug/07_A2_WI-FI,7,E:\STADY\EMBADDED_STADY\FPGA_PROJECT\DE0_NANO\WORK\GITHUB\SCHEMATIC\ALLWINER_H3\LIB\LIB_H3.OLB, 452.75, 164.75
70,C69,4.7UF/16V,/02_A2_POWER/01_A3_Main_Block/03_A4_POWER_TREE/04_A2_CPU_1/05_A3_MicroSD/06_A3_USB2.0_Debug/07_A2_WI-FI,7,E:\STADY\EMBADDED_STADY\FPGA_PROJECT\DE0_NANO\WORK\GITHUB\SCHEMATIC\ALLWINER_H3\LIB\LIB_H3.OLB, 423.25, 164.75
71,C70,4.7UF/16V,/02_A2_POWER/01_A3_Main_Block/03_A4_POWER_TREE/04_A2_CPU_1/05_A3_MicroSD/06_A3_USB2.0_Debug/07_A2_WI-FI,7,E:\STADY\EMBADDED_STADY\FPGA_PROJECT\DE0_NANO\WORK\GITHUB\SCHEMATIC\ALLWINER_H3\LIB\LIB_H3.OLB, 482.25, 164.75
72,C71,4.7UF/16V,/02_A2_POWER/01_A3_Main_Block/03_A4_POWER_TREE/04_A2_CPU_1/05_A3_MicroSD/06_A3_USB2.0_Debug/07_A2_WI-FI,7,E:\STADY\EMBADDED_STADY\FPGA_PROJECT\DE0_NANO\WORK\GITHUB\SCHEMATIC\ALLWINER_H3\LIB\LIB_H3.OLB, 511.75, 164.75
73,C72,1U/16V,/02_A2_POWER/01_A3_Main_Block/03_A4_POWER_TREE/04_A2_CPU_1/05_A3_MicroSD/06_A3_USB2.0_Debug/07_A2_WI-FI,7,E:\STADY\EMBADDED_STADY\FPGA_PROJECT\DE0_NANO\WORK\GITHUB\SCHEMATIC\ALLWINNER_H3\LIB\LIB_H3.OLB, 398.50, 147.75
74,C73,1U/16V,/02_A2_POWER/01_A3_Main_Block/03_A4_POWER_TREE/04_A2_CPU_1/05_A3_MicroSD/06_A3_USB2.0_Debug/07_A2_WI-FI,7,E:\STADY\EMBADDED_STADY\FPGA_PROJECT\DE0_NANO\WORK\GITHUB\SCHEMATIC\ALLWINNER_H3\LIB\LIB_H3.OLB, 398.50, 167.25
75,C74,22PF/50V,/02_A2_POWER/01_A3_Main_Block/03_A4_POWER_TREE/04_A2_CPU_1/05_A3_MicroSD/06_A3_USB2.0_Debug/07_A2_WI-FI,7,E:\STADY\EMBADDED_STADY\FPGA_PROJECT\DE0_NANO\WORK\GITHUB\SCHEMATIC\ALLWINER_H3\LIB\LIB_H3.OLB, 386.25, 206.75
76,C75,1P/50V/NC,/02_A2_POWER/01_A3_Main_Block/03_A4_POWER_TREE/04_A2_CPU_1/05_A3_MicroSD/06_A3_USB2.0_Debug/07_A2_WI-FI,7,E:\STADY\EMBADDED_STADY\FPGA_PROJECT\DE0_NANO\WORK\GITHUB\SCHEMATIC\ALLWINNER_H3\LIB\LIB_H3.OLB, 398.50, 93.50
77,C76,1P/50V/NC,/02_A2_POWER/01_A3_Main_Block/03_A4_POWER_TREE/04_A2_CPU_1/05_A3_MicroSD/06_A3_USB2.0_Debug/07_A2_WI-FI,7,E:\STADY\EMBADDED_STADY\FPGA_PROJECT\DE0_NANO\WORK\GITHUB\SCHEMATIC\ALLWINNER_H3\LIB\LIB_H3.OLB, 467.50, 93.50
78,C77,100NF/16V,/02_A2_POWER/01_A3_Main_Block/03_A4_POWER_TREE/04_A2_CPU_1/05_A3_MicroSD/06_A3_USB2.0_Debug/07_A2_WI-FI/08_A3_MIC,8,E:\STADY\EMBADDED_STADY\FPGA_PROJECT\DE0_NANO\WORK\GITHUB\SCHEMATIC\ALLWINER_H3\LIB\LIB_H3.OLB, 196.75, 54.25
79,C78,100NF/16V,/02_A2_POWER/01_A3_Main_Block/03_A4_POWER_TREE/04_A2_CPU_1/05_A3_MicroSD/06_A3_USB2.0_Debug/07_A2_WI-FI/08_A3_MIC,8,E:\STADY\EMBADDED_STADY\FPGA_PROJECT\DE0_NANO\WORK\GITHUB\SCHEMATIC\ALLWINER_H3\LIB\LIB_H3.OLB, 196.75, 113.25
